accession,Name,Formula,RT,MainPositiveAdduct,MainNegativeAdduct,KEGG,CAS,PubChem,ChemSpider,UserId,BioCyc,HMDB,Metlin,LipidMaps,Unnamed: 14
DBK0061,Pyridoxine,C8H11NO3,0.0,[M+H]+,[M-H]-,,65-23-6,,,,,,,,
DBK0062,Lipoic acid,C8H14O2S2,0.0,[M+H]+,[M-H]-,,1200-22-2,,,,,,,,
DBK0063,Isoleucine,C6H13NO2,0.0,[M+H]+,[M-H]-,,73-32-5,,,,,,,,
DBK0064,Aspartame,C14H18N2O5,0.0,[M+H]+,[M-H]-,,22839-47-0,,,,,,,,
DBK0065,Cholecalciferol,C27H44O,0.0,[M+H]+,[M-H]-,,67-97-0,,,,,,,,
DBK0066,Menadione,C11H8O2,0.0,[M+H]+,[M-H]-,,58-27-5,,,,,,,,
DBK0067,ATP,C10H16N5O13P3,0.0,[M+H]+,[M-H]-,,56-65-5,,,,,,,,
DBK0068,Proline,C5H9NO2,0.0,[M+H]+,[M-H]-,,147-85-3,,,,,,,,
DBK0069,Adenine,C5H5N5,0.0,[M+H]+,[M-H]-,,73-24-5,,,,,,,,
DBK0070,Asparagine,C4H8N2O3,0.0,[M+H]+,[M-H]-,,70-47-3,,,,,,,,
DBK0071,Pravastatin,C23H36O7,0.0,[M+H]+,[M-H]-,,81093-37-0,,,,,,,,
DBK0072,Fluvoxamine,C15H21F3N2O2,0.0,[M+H]+,[M-H]-,,54739-18-3,,,,,,,,
DBK0073,Valsartan,C24H29N5O3,0.0,[M+H]+,[M-H]-,,137862-53-4,,,,,,,,
DBK0074,Ramipril,C23H32N2O5,0.0,[M+H]+,[M-H]-,,87333-19-5,,,,,,,,
DBK0075,Masoprocol,C18H22O4,0.0,[M+H]+,[M-H]-,,27686-84-6,,,,,,,,
DBK0076,Flunisolide,C24H31FO6,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK0077,Baclofen,C10H12ClNO2,0.0,[M+H]+,[M-H]-,,1134-47-0,,,,,,,,
DBK0078,Amphetamine,C9H13N,0.0,[M+H]+,[M-H]-,,300-62-9,,,,,,,,
DBK0079,Pentagastrin,C37H49N7O9S,0.0,[M+H]+,[M-H]-,,5534-95-2,,,,,,,,
DBK0080,Nicotine,C10H14N2,0.0,[M+H]+,[M-H]-,,54-11-5,,,,,,,,
DBK0081,Cevimeline,C10H17NOS,0.0,[M+H]+,[M-H]-,,107233-08-9,,,,,,,,
DBK0082,Lorazepam,C15H10Cl2N2O2,0.0,[M+H]+,[M-H]-,,846-49-1,,,,,,,,
DBK0083,Esmolol,C16H25NO4,0.0,[M+H]+,[M-H]-,,81147-92-4,,,,,,,,
DBK0084,Bortezomib,C19H25BN4O4,0.0,[M+H]+,[M-H]-,,179324-69-7,,,,,,,,
DBK0085,Ethchlorvynol,C7H9ClO,0.0,[M+H]+,[M-H]-,,113-18-8,,,,,,,,
DBK0086,Carbidopa,C10H14N2O4,0.0,[M+H]+,[M-H]-,,28860-95-9,,,,,,,,
DBK0087,Phentermine,C10H15N,0.0,[M+H]+,[M-H]-,,122-09-8,,,,,,,,
DBK0088,Indecainide,C20H24N2O,0.0,[M+H]+,[M-H]-,,74517-78-5,,,,,,,,
DBK0089,Tramadol,C16H25NO2,0.0,[M+H]+,[M-H]-,,27203-92-5,,,,,,,,
DBK0090,Vidarabine,C10H13N5O4,0.0,[M+H]+,[M-H]-,,24356-66-9,,,,,,,,
DBK0091,Betaxolol,C18H29NO3,0.0,[M+H]+,[M-H]-,,63659-18-7,,,,,,,,
DBK0092,Fluconazole,C13H12F2N6O,0.0,[M+H]+,[M-H]-,,86386-73-4,,,,,,,,
DBK0093,Troglitazone,C24H27NO5S,0.0,[M+H]+,[M-H]-,,97322-87-7,,,,,,,,
DBK0094,Oseltamivir,C16H28N2O4,0.0,[M+H]+,[M-H]-,,196618-13-0,,,,,,,,
DBK0095,Erythromycin,C37H67NO13,0.0,[M+H]+,[M-H]-,,114-07-8,,,,,,,,
DBK0096,Hydroxocobalamin,C62H89CoN13O15P,0.0,[M+H]+,[M-H]-,,13422-51-0,,,,,,,,
DBK0097,Caffeine,C8H10N4O2,0.0,[M+H]+,[M-H]-,,58-08-2,,,,,,,,
DBK0098,Succinylcholine,C14H30N2O4,0.0,[M+H]+,[M-H]-,,306-40-1,,,,,,,,
DBK0099,Sildenafil,C22H30N6O4S,0.0,[M+H]+,[M-H]-,,139755-83-2,,,,,,,,
DBK00100,Dofetilide,C19H27N3O5S2,0.0,[M+H]+,[M-H]-,,115256-11-6,,,,,,,,
DBK00101,Pyrimethamine,C12H13ClN4,0.0,[M+H]+,[M-H]-,,58-14-0,,,,,,,,
DBK00102,Reserpine,C33H40N2O9,0.0,[M+H]+,[M-H]-,,50-55-5,,,,,,,,
DBK00103,Azithromycin,C38H72N2O12,0.0,[M+H]+,[M-H]-,,83905-01-5,,,,,,,,
DBK00104,Ticlopidine,C14H14ClNS,0.0,[M+H]+,[M-H]-,,55142-85-3,,,,,,,,
DBK00105,Trospium,C25H30NO3,0.0,[M+H]+,[M-H]-,,47608-32-2,,,,,,,,
DBK00106,Adapalene,C28H28O3,0.0,[M+H]+,[M-H]-,,106685-40-9,,,,,,,,
DBK00107,Midodrine,C12H18N2O4,0.0,[M+H]+,[M-H]-,,42794-76-3,,,,,,,,
DBK00108,Remikiren,C33H50N4O6S,0.0,[M+H]+,[M-H]-,,126222-34-2,,,,,,,,
DBK00109,Pantoprazole,C16H15F2N3O4S,0.0,[M+H]+,[M-H]-,,102625-70-7,,,,,,,,
DBK00110,Torasemide,C16H20N4O3S,0.0,[M+H]+,[M-H]-,,56211-40-6,,,,,,,,
DBK00111,Citalopram,C20H21FN2O,0.0,[M+H]+,[M-H]-,,59729-33-8,,,,,,,,
DBK00112,Eletriptan,C22H26N2O2S,0.0,[M+H]+,[M-H]-,,143322-58-1,,,,,,,,
DBK00113,Bethanidine,C10H15N3,0.0,[M+H]+,[M-H]-,,55-73-2,,,,,,,,
DBK00114,Moxifloxacin,C21H24FN3O4,0.0,[M+H]+,[M-H]-,,151096-09-2,,,,,,,,
DBK00115,Oxyphenonium,C21H34NO3,0.0,[M+H]+,[M-H]-,,14214-84-7,,,,,,,,
DBK00116,Nelfinavir,C32H45N3O4S,0.0,[M+H]+,[M-H]-,,159989-64-7,,,,,,,,
DBK00117,Isoetharine,C13H21NO3,0.0,[M+H]+,[M-H]-,,79490-84-9,,,,,,,,
DBK00118,Glimepiride,C24H34N4O5S,0.0,[M+H]+,[M-H]-,,93479-97-1,,,,,,,,
DBK00119,Diflorasone,C22H28F2O5,0.0,[M+H]+,[M-H]-,,2557-49-5,,,,,,,,
DBK00120,Indinavir,C36H47N5O4,0.0,[M+H]+,[M-H]-,,150378-17-9,,,,,,,,
DBK00121,Gadodiamide,C16H26GdN5O8,0.0,[M+H]+,[M-H]-,,131410-48-5,,,,,,,,
DBK00122,Guanadrel,C10H19N3O2,0.0,[M+H]+,[M-H]-,,40580-59-4,,,,,,,,
DBK00123,Lovastatin,C24H36O5,0.0,[M+H]+,[M-H]-,,75330-75-5,,,,,,,,
DBK00124,Enflurane,C3H2ClF5O,0.0,[M+H]+,[M-H]-,,13838-16-9,,,,,,,,
DBK00125,Cefotiam,C18H23N9O4S3,0.0,[M+H]+,[M-H]-,,61622-34-2,,,,,,,,
DBK00126,Pregabalin,C8H17NO2,0.0,[M+H]+,[M-H]-,,148553-50-8,,,,,,,,
DBK00127,Temazepam,C16H13ClN2O2,0.0,[M+H]+,[M-H]-,,846-50-4,,,,,,,,
DBK00128,Methyclothiazide,C9H11Cl2N3O4S2,0.0,[M+H]+,[M-H]-,,135-07-9,,,,,,,,
DBK00129,Aminosalicylic acid,C7H7NO3,0.0,[M+H]+,[M-H]-,,65-49-6,,,,,,,,
DBK00130,Reboxetine,C19H23NO3,0.0,[M+H]+,[M-H]-,,71620-89-8,,,,,,,,
DBK00131,Milrinone,C12H9N3O,0.0,[M+H]+,[M-H]-,,78415-72-2,,,,,,,,
DBK00132,Pipobroman,C10H16Br2N2O2,0.0,[M+H]+,[M-H]-,,54-91-1,,,,,,,,
DBK00133,Butabarbital,C10H16N2O3,0.0,[M+H]+,[M-H]-,,125-40-6,,,,,,,,
DBK00134,Nevirapine,C15H14N4O,0.0,[M+H]+,[M-H]-,,129618-40-2,,,,,,,,
DBK00135,Oxiconazole,C18H13Cl4N3O,0.0,[M+H]+,[M-H]-,,64211-45-6,,,,,,,,
DBK00136,Alclometasone,C22H29ClO5,0.0,[M+H]+,[M-H]-,,67452-97-5,,,,,,,,
DBK00137,Butalbital,C11H16N2O3,0.0,[M+H]+,[M-H]-,,77-26-9,,,,,,,,
DBK00138,Cladribine,C10H12ClN5O3,0.0,[M+H]+,[M-H]-,,4291-63-8,,,,,,,,
DBK00139,Ranolazine,C24H33N3O4,0.0,[M+H]+,[M-H]-,,95635-55-5,,,,,,,,
DBK00140,Mesalazine,C7H7NO3,0.0,[M+H]+,[M-H]-,,89-57-6,,,,,,,,
DBK00141,Benzatropine,C21H25NO,0.0,[M+H]+,[M-H]-,,86-13-5,,,,,,,,
DBK00142,Ziprasidone,C21H21ClN4OS,0.0,[M+H]+,[M-H]-,,146939-27-7,,,,,,,,
DBK00143,Methysergide,C21H27N3O2,0.0,[M+H]+,[M-H]-,,361-37-5,,,,,,,,
DBK00144,Cabergoline,C26H37N5O2,0.0,[M+H]+,[M-H]-,,81409-90-7,,,,,,,,
DBK00145,Idoxuridine,C9H11IN2O5,0.0,[M+H]+,[M-H]-,,54-42-2,,,,,,,,
DBK00146,Dapsone,C12H12N2O2S,0.0,[M+H]+,[M-H]-,,80-08-0,,,,,,,,
DBK00147,Terconazole,C26H31Cl2N5O3,0.0,[M+H]+,[M-H]-,,67915-31-5,,,,,,,,
DBK00148,Phenytoin,C15H12N2O2,0.0,[M+H]+,[M-H]-,,57-41-0,,,,,,,,
DBK00149,Medrysone,C22H32O3,0.0,[M+H]+,[M-H]-,,2668-66-8,,,,,,,,
DBK00150,Doxycycline,C22H24N2O8,0.0,[M+H]+,[M-H]-,,564-25-0,,,,,,,,
DBK00151,Diethylstilbestrol,C18H20O2,0.0,[M+H]+,[M-H]-,,56-53-1,,,,,,,,
DBK00152,Lymecycline,C29H38N4O10,0.0,[M+H]+,[M-H]-,,992-21-2,,,,,,,,
DBK00153,Clotrimazole,C22H17ClN2,0.0,[M+H]+,[M-H]-,,23593-75-1,,,,,,,,
DBK00154,Calcium acetate,C4H6CaO4,0.0,[M+H]+,[M-H]-,,62-54-4,,,,,,,,
DBK00155,Sulfanilamide,C6H8N2O2S,0.0,[M+H]+,[M-H]-,,63-74-1,,,,,,,,
DBK00156,Cycloserine,C3H6N2O2,0.0,[M+H]+,[M-H]-,,68-41-7,,,,,,,,
DBK00157,Anagrelide,C10H7Cl2N3O,0.0,[M+H]+,[M-H]-,,68475-42-3,,,,,,,,
DBK00158,Carmustine,C5H9Cl2N3O2,0.0,[M+H]+,[M-H]-,,154-93-8,,,,,,,,
DBK00159,Sulfisoxazole,C11H13N3O3S,0.0,[M+H]+,[M-H]-,,127-69-5,,,,,,,,
DBK00160,Metoprolol,C15H25NO3,0.0,[M+H]+,[M-H]-,,51384-51-1,,,,,,,,
DBK00161,Crotamiton,C13H17NO,0.0,[M+H]+,[M-H]-,,483-63-6,,,,,,,,
DBK00162,Dicoumarol,C19H12O6,0.0,[M+H]+,[M-H]-,,66-76-2,,,,,,,,
DBK00163,Cefmenoxime,C16H17N9O5S3,0.0,[M+H]+,[M-H]-,,65085-01-0,,,,,,,,
DBK00164,Ropinirole,C16H24N2O,0.0,[M+H]+,[M-H]-,,91374-21-9,,,,,,,,
DBK00165,Chlorotrianisene,C23H21ClO3,0.0,[M+H]+,[M-H]-,,569-57-3,,,,,,,,
DBK00166,Isradipine,C19H21N3O5,0.0,[M+H]+,[M-H]-,,75695-93-1,,,,,,,,
DBK00167,Diatrizoate,C11H9I3N2O4,0.0,[M+H]+,[M-H]-,,117-96-4,,,,,,,,
DBK00168,Betazole,C5H9N3,0.0,[M+H]+,[M-H]-,,105-20-4,,,,,,,,
DBK00169,Topiramate,C12H21NO8S,0.0,[M+H]+,[M-H]-,,97240-79-4,,,,,,,,
DBK00170,Cefmetazole,C15H17N7O5S3,0.0,[M+H]+,[M-H]-,,56796-20-4,,,,,,,,
DBK00171,Olmesartan,C24H26N6O3,0.0,[M+H]+,[M-H]-,,144689-24-7,,,,,,,,
DBK00172,Amsacrine,C21H19N3O3S,0.0,[M+H]+,[M-H]-,,51264-14-3,,,,,,,,
DBK00173,Theophylline,C7H8N4O2,0.0,[M+H]+,[M-H]-,,58-55-9,,,,,,,,
DBK00174,Argatroban,C23H36N6O5S,0.0,[M+H]+,[M-H]-,,74863-84-6,,,,,,,,
DBK00175,Liothyronine,C15H12I3NO4,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK00176,Disopyramide,C21H29N3O,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK00177,Lidocaine,C14H22N2O,0.0,[M+H]+,[M-H]-,,137-58-6,,,,,,,,
DBK00178,Pamidronic acid,C3H11NO7P2,0.0,[M+H]+,[M-H]-,,40391-99-9,,,,,,,,
DBK00179,Clemastine,C21H26ClNO,0.0,[M+H]+,[M-H]-,,15686-51-8,,,,,,,,
DBK00180,Acarbose,C25H43NO18,0.0,[M+H]+,[M-H]-,,56180-94-0,,,,,,,,
DBK00181,Venlafaxine,C17H27NO2,0.0,[M+H]+,[M-H]-,,93413-69-5,,,,,,,,
DBK00182,Travoprost,C26H35F3O6,0.0,[M+H]+,[M-H]-,,157283-68-6,,,,,,,,
DBK00183,Amcinonide,C28H35FO7,0.0,[M+H]+,[M-H]-,,51022-69-6,,,,,,,,
DBK00184,Atomoxetine,C17H21NO,0.0,[M+H]+,[M-H]-,,83015-26-3,,,,,,,,
DBK00185,Bleomycin,C55H84N17O21S3,0.0,[M+H]+,[M-H]-,,11056-06-7,,,,,,,,
DBK00186,Chlorambucil,C14H19Cl2NO2,0.0,[M+H]+,[M-H]-,,305-03-3,,,,,,,,
DBK00187,Etomidate,C14H16N2O2,0.0,[M+H]+,[M-H]-,,33125-97-2,,,,,,,,
DBK00188,Raltitrexed,C21H22N4O6S,0.0,[M+H]+,[M-H]-,,112887-68-0,,,,,,,,
DBK00189,Etonogestrel,C22H28O2,0.0,[M+H]+,[M-H]-,,54048-10-1,,,,,,,,
DBK00190,Morphine,C17H19NO3,0.0,[M+H]+,[M-H]-,,57-27-2,,,,,,,,
DBK00191,Ropivacaine,C17H26N2O,0.0,[M+H]+,[M-H]-,,84057-95-4,,,,,,,,
DBK00192,Bupivacaine,C18H28N2O,0.0,[M+H]+,[M-H]-,,38396-39-3,,,,,,,,
DBK00193,Dapiprazole,C19H27N5,0.0,[M+H]+,[M-H]-,,72822-12-9,,,,,,,,
DBK00194,Penciclovir,C10H15N5O3,0.0,[M+H]+,[M-H]-,,39809-25-1,,,,,,,,
DBK00195,Tenofovir disoproxil,C19H30N5O10P,0.0,[M+H]+,[M-H]-,,201341-05-1,,,,,,,,
DBK00196,Flucloxacillin,C19H17ClFN3O5S,0.0,[M+H]+,[M-H]-,,5250-39-5,,,,,,,,
DBK00197,Tranexamic acid,C8H15NO2,0.0,[M+H]+,[M-H]-,,1197-18-8,,,,,,,,
DBK00198,Ertapenem,C22H25N3O7S,0.0,[M+H]+,[M-H]-,,153832-46-3,,,,,,,,
DBK00199,Desogestrel,C22H30O,0.0,[M+H]+,[M-H]-,,54024-22-5,,,,,,,,
DBK00200,Mitomycin,C15H18N4O5,0.0,[M+H]+,[M-H]-,,50-07-7,,,,,,,,
DBK00201,Talbutal,C11H16N2O3,0.0,[M+H]+,[M-H]-,,115-44-6,,,,,,,,
DBK00202,Bexarotene,C24H28O2,0.0,[M+H]+,[M-H]-,,153559-49-0,,,,,,,,
DBK00203,Ibutilide,C20H36N2O3S,0.0,[M+H]+,[M-H]-,,122647-31-8,,,,,,,,
DBK00204,Vindesine,C43H55N5O7,0.0,[M+H]+,[M-H]-,,53643-48-4,,,,,,,,
DBK00205,Chlorthalidone,C14H11ClN2O4S,0.0,[M+H]+,[M-H]-,,77-36-1,,,,,,,,
DBK00206,Ethoxzolamide,C9H10N2O3S2,0.0,[M+H]+,[M-H]-,,452-35-7,,,,,,,,
DBK00207,Pentobarbital,C11H18N2O3,0.0,[M+H]+,[M-H]-,,76-74-4,,,,,,,,
DBK00208,Valproic acid,C8H16O2,0.0,[M+H]+,[M-H]-,,99-66-1,,,,,,,,
DBK00209,Capreomycin,C50H88N28O15,0.0,[M+H]+,[M-H]-,,11003-38-6,,,,,,,,
DBK00210,Zolmitriptan,C16H21N3O2,0.0,[M+H]+,[M-H]-,,139264-17-8,,,,,,,,
DBK00211,Acetaminophen,C8H9NO2,0.0,[M+H]+,[M-H]-,,103-90-2,,,,,,,,
DBK00212,Gefitinib,C22H24ClFN4O3,0.0,[M+H]+,[M-H]-,,184475-35-2,,,,,,,,
DBK00213,Codeine,C18H21NO3,0.0,[M+H]+,[M-H]-,,76-57-3,,,,,,,,
DBK00214,Piperacillin,C23H27N5O7S,0.0,[M+H]+,[M-H]-,,66258-76-2,,,,,,,,
DBK00215,Dihydroergotamine,C33H37N5O5,0.0,[M+H]+,[M-H]-,,511-12-6,,,,,,,,
DBK00216,Amitriptyline,C20H23N,0.0,[M+H]+,[M-H]-,,50-48-6,,,,,,,,
DBK00217,Floxuridine,C9H11FN2O5,0.0,[M+H]+,[M-H]-,,50-91-9,,,,,,,,
DBK00218,Tolcapone,C14H11NO5,0.0,[M+H]+,[M-H]-,,134308-13-7,,,,,,,,
DBK00219,Fluorometholone,C22H29FO4,0.0,[M+H]+,[M-H]-,,426-13-1,,,,,,,,
DBK00220,Nitroprusside,C5FeN6O,0.0,[M+H]+,[M-H]-,,15078-28-1,,,,,,,,
DBK00221,Calcium glucoheptonate,C14H26CaO16,0.0,[M+H]+,[M-H]-,,29039-00-7,,,,,,,,
DBK00222,Hydromorphone,C17H19NO3,0.0,[M+H]+,[M-H]-,,466-99-9,,,,,,,,
DBK00223,Indomethacin,C19H16ClNO4,0.0,[M+H]+,[M-H]-,,53-86-1,,,,,,,,
DBK00224,Ethambutol,C10H24N2O2,0.0,[M+H]+,[M-H]-,,74-55-5,,,,,,,,
DBK00225,Metformin,C4H11N5,0.0,[M+H]+,[M-H]-,,657-24-9,,,,,,,,
DBK00226,Ipratropium,C20H30NO3,0.0,[M+H]+,[M-H]-,,60205-81-4,,,,,,,,
DBK00227,Methadone,C21H27NO,0.0,[M+H]+,[M-H]-,,76-99-3,,,,,,,,
DBK00228,Olanzapine,C17H20N4S,0.0,[M+H]+,[M-H]-,,132539-06-1,,,,,,,,
DBK00229,Atenolol,C14H22N2O3,0.0,[M+H]+,[M-H]-,,29122-68-7,,,,,,,,
DBK00230,Nitrofural,C6H6N4O4,0.0,[M+H]+,[M-H]-,,59-87-0,,,,,,,,
DBK00231,Pimecrolimus,C43H68ClNO11,0.0,[M+H]+,[M-H]-,,137071-32-0,,,,,,,,
DBK00232,Omeprazole,C17H19N3O3S,0.0,[M+H]+,[M-H]-,,73590-58-6,,,,,,,,
DBK00233,Pyrazinamide,C5H5N3O,0.0,[M+H]+,[M-H]-,,98-96-4,,,,,,,,
DBK00234,Metixene,C20H23NS,0.0,[M+H]+,[M-H]-,,,,,,,,,,
DBK00235,Cetirizine,C21H25ClN2O3,0.0,[M+H]+,[M-H]-,,83881-51-0,,,,,,,,
DBK00236,Terfenadine,C32H41NO2,0.0,[M+H]+,[M-H]-,,50679-08-8,,,,,,,,
DBK00237,Diltiazem,C22H26N2O4S,0.0,[M+H]+,[M-H]-,,42399-41-7,,,,,,,,
DBK00238,Protriptyline,C19H21N,0.0,[M+H]+,[M-H]-,,438-60-8,,,,,,,,
DBK00239,Aminohippuric acid,C9H10N2O3,0.0,[M+H]+,[M-H]-,,61-78-9,,,,,,,,
DBK00240,Alfuzosin,C19H27N5O4,0.0,[M+H]+,[M-H]-,,81403-80-7,,,,,,,,
DBK00241,Trimethadione,C6H9NO3,0.0,[M+H]+,[M-H]-,,127-48-0,,,,,,,,
DBK00242,Nitisinone,C14H10F3NO5,0.0,[M+H]+,[M-H]-,,104206-65-7,,,,,,,,
DBK00243,Clobazam,C16H13ClN2O2,0.0,[M+H]+,[M-H]-,,22316-47-8,,,,,,,,
DBK00244,Minoxidil,C9H15N5O,0.0,[M+H]+,[M-H]-,,38304-91-5,,,,,,,,
DBK00245,Megestrol acetate,C24H32O4,0.0,[M+H]+,[M-H]-,,595-33-5,,,,,,,,
DBK00246,Tioguanine,C5H5N5S,0.0,[M+H]+,[M-H]-,,154-42-7,,,,,,,,
DBK00247,Methylergometrine,C20H25N3O2,0.0,[M+H]+,[M-H]-,,113-42-8,,,,,,,,
